margin_rate,churn_penalty,review_cost,review_catch_rate,t_profit_single,t_review,t_decline,val_reviews_per_day,nb1000_profit_three_way,nb1000_profit_single,nb1000_youden_single,nb1000_rules,decline_rate_val_at_t_profit
0.005,0.0,10.0,0.98,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,20.0,0.5,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,20.0,0.65,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,20.0,0.8,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,20.0,0.85,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,20.0,0.95,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,20.0,0.98,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,5.0,1.0,0.5,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3513.3753617592956,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,1.0,0.65,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3521.4256919655472,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,1.0,0.8,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3529.476022171799,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,1.0,0.85,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3532.159465573883,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,1.0,0.95,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3537.5263523780513,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,1.0,0.98,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3539.1364184193017,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,2.5,0.5,0.0012200447294195178,0.001195471869361305,0.001195471869361305,0.0,3482.603432225872,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,2.5,0.65,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3502.7309380115394,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,2.5,0.8,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3510.781268217791,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,2.5,0.85,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3513.464711619875,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
0.005,5.0,2.5,0.95,0.0012200447294195178,0.001195471869361305,0.0013653242145707845,30.69071576516939,3518.8315984240435,3473.1583280839013,3503.4075115431074,811.5731611180727,0.14908388932163782
